iter	Passed	Remaining
0	72	72575
1	75	37455
2	76	25560
3	78	19661
4	81	16179
5	83	13804
6	85	12108
7	88	10917
8	89	9866
9	90	8992
10	91	8260
11	92	7646
12	93	7127
13	95	6727
14	96	6335
15	100	6174
16	101	5881
17	102	5586
18	104	5383
19	104	5141
20	105	4929
21	106	4739
22	110	4702
23	111	4528
24	111	4366
25	112	4216
26	113	4079
27	113	3950
28	114	3838
29	115	3733
30	116	3630
31	116	3532
32	118	3464
33	119	3395
34	121	3342
35	128	3452
36	129	3373
37	130	3312
38	131	3246
39	132	3179
40	133	3119
41	136	3113
42	137	3053
43	137	2994
44	138	2943
45	139	2890
46	141	2867
47	142	2817
48	142	2768
49	143	2720
50	144	2681
51	145	2646
52	146	2609
53	146	2570
54	147	2537
55	148	2502
56	149	2466
57	149	2432
58	150	2408
59	151	2377
60	152	2349
61	153	2318
62	153	2288
63	157	2310
64	158	2281
65	159	2253
66	159	2225
67	160	2194
68	165	2239
69	167	2226
70	169	2219
71	170	2203
72	171	2179
73	172	2155
74	173	2134
75	177	2163
76	178	2145
77	181	2147
78	182	2129
79	183	2108
80	184	2087
81	184	2069
82	185	2049
83	186	2029
84	186	2007
85	187	1988
86	187	1967
87	188	1949
88	188	1933
89	189	1916
90	190	1899
91	190	1882
92	191	1867
93	192	1852
94	193	1838
95	193	1825
96	194	1811
97	195	1797
98	195	1783
99	196	1768
100	197	1755
101	197	1739
102	198	1727
103	199	1714
104	199	1701
105	200	1688
106	200	1675
107	201	1663
108	202	1651
109	202	1639
110	203	1627
111	203	1616
112	204	1604
113	205	1593
114	205	1582
115	206	1570
116	206	1561
117	207	1552
118	208	1541
119	208	1531
120	209	1522
121	210	1512
122	210	1500
123	211	1492
124	212	1484
125	212	1475
126	213	1467
127	213	1456
128	214	1448
129	215	1439
130	215	1430
131	216	1422
132	216	1413
133	217	1405
134	218	1397
135	218	1389
136	221	1395
137	222	1387
138	222	1379
139	223	1372
140	224	1365
141	224	1358
142	225	1354
143	227	1349
144	227	1342
145	228	1335
146	228	1328
147	229	1321
148	230	1314
149	230	1307
150	235	1324
151	236	1318
152	238	1320
