iter	Passed	Remaining
0	0	656
1	1	610
2	1	585
3	2	614
4	2	594
5	3	583
6	4	574
7	4	569
8	5	566
9	5	562
10	6	558
11	6	557
12	7	554
13	7	552
14	8	549
15	8	547
16	9	545
17	9	543
18	10	541
19	11	539
20	11	538
21	12	537
22	12	537
23	13	536
24	13	535
25	14	533
26	14	531
27	15	531
28	15	529
29	16	529
30	16	528
31	17	528
32	17	527
33	18	526
34	19	525
35	19	524
36	20	522
37	20	529
38	21	529
39	22	529
40	22	528
41	23	527
42	23	526
43	24	525
44	24	524
45	25	523
46	25	522
47	26	521
48	26	521
49	27	520
50	27	520
51	28	519
52	29	518
53	29	517
54	30	516
55	30	515
56	31	515
57	31	514
58	32	513
59	32	512
60	33	511
61	33	510
62	34	511
63	35	512
64	35	512
65	36	513
66	36	513
67	37	512
68	37	511
69	38	510
70	38	509
71	39	509
72	40	508
73	40	507
74	41	506
75	41	505
76	42	505
77	42	504
78	43	503
79	43	502
80	44	502
81	44	503
82	45	499
83	45	498
84	46	498
85	46	497
86	47	496
87	47	496
88	48	495
89	48	495
90	49	494
91	50	493
92	50	492
93	51	492
94	51	491
95	52	490
96	52	490
97	53	489
98	53	489
99	54	488
100	54	487
101	55	486
102	55	485
103	56	485
104	56	484
105	57	483
106	57	483
107	58	482
108	58	481
109	59	481
110	59	480
111	60	479
112	61	478
113	61	478
114	62	477
115	62	476
116	63	475
117	63	474
118	64	474
119	64	473
120	65	472
121	65	473
122	66	472
123	66	472
124	67	471
125	67	471
126	68	469
127	68	469
128	69	468
129	70	468
130	70	468
131	71	470
132	72	473
133	73	474
134	74	474
135	74	474
136	75	473
137	75	473
138	76	472
139	76	472
140	77	471
141	77	469
142	78	469
143	78	468
144	79	468
145	80	470
146	81	470
147	81	471
148	82	473
149	83	472
150	83	471
151	84	471
152	84	470
153	85	469
154	85	468
155	86	467
156	87	467
157	87	466
158	88	465
159	88	464
160	88	463
161	89	462
162	89	461
163	90	461
164	90	460
165	91	459
166	91	458
167	92	458
168	93	457
169	93	456
170	94	456
171	94	456
172	95	456
173	96	455
174	96	455
175	97	454
176	97	453
177	98	453
178	98	453
179	99	452
180	99	452
181	100	451
182	101	451
183	101	450
184	102	450
185	102	449
186	103	449
187	103	448
188	104	448
189	105	447
190	105	447
191	106	446
192	106	445
193	107	445
194	107	444
195	108	444
196	108	443
197	109	442
198	109	442
199	110	441
200	110	441
201	111	440
202	112	439
203	112	439
204	113	438
205	113	438
206	114	437
207	114	437
208	115	436
209	115	435
210	116	435
211	116	434
212	117	433
213	118	434
214	118	433
215	119	432
216	119	432
217	120	431
218	120	430
219	121	430
220	121	429
221	122	428
222	122	428
223	123	427
224	123	426
225	124	426
226	124	425
227	125	424
228	126	424
229	126	423
230	127	423
231	127	422
232	128	421
233	128	421
234	129	420
235	129	419
236	130	419
237	130	418
238	131	417
239	131	417
240	132	416
241	132	415
242	133	415
243	134	415
244	134	414
245	135	413
246	135	413
247	136	412
248	136	412
249	137	411
250	137	411
251	138	410
252	138	410
253	139	409
254	139	408
255	140	408
256	140	407
257	141	406
258	141	406
259	142	405
260	143	404
261	143	404
262	144	403
263	144	403
264	145	402
265	145	401
266	146	401
267	146	400
268	147	399
269	147	399
270	148	398
271	148	398
272	149	397
273	149	396
274	150	396
275	150	395
276	151	395
277	151	394
278	152	393
279	152	393
280	153	392
281	154	392
282	154	391
283	155	390
284	155	390
285	156	389
286	156	389
287	157	388
288	157	387
289	158	387
290	158	386
291	159	386
292	159	385
293	160	384
294	160	384
295	161	384
296	162	383
297	162	383
298	163	382
299	163	382
300	164	381
301	164	381
302	165	380
303	165	379
304	166	379
305	167	378
306	167	378
307	168	377
308	168	377
309	169	376
310	169	375
311	170	375
312	170	374
313	171	374
314	171	373
315	172	372
316	172	372
317	173	371
318	173	371
319	174	371
320	175	371
321	176	370
322	176	370
323	177	369
324	177	368
325	178	368
326	178	367
327	179	367
328	179	366
329	180	365
330	180	365
331	181	364
332	181	364
333	182	363
334	182	363
335	183	362
336	183	361
337	184	361
338	184	360
339	185	360
340	185	359
341	186	358
342	187	358
343	187	358
344	188	357
345	188	356
346	189	356
347	189	355
348	190	354
349	190	354
350	191	353
351	191	353
352	192	352
353	192	351
354	193	351
355	193	350
356	194	350
357	194	349
358	195	348
359	195	348
360	196	347
361	197	347
362	197	346
363	198	346
364	198	345
365	199	345
366	199	344
367	200	343
368	200	343
369	201	342
370	202	342
371	202	342
372	203	341
373	203	340
374	204	340
375	204	339
376	205	339
377	205	338
378	206	337
379	206	337
380	207	336
381	207	336
382	208	335
383	208	334
384	209	334
385	209	333
386	210	333
387	210	332
388	211	332
389	211	331
390	212	330
391	212	330
392	213	329
393	214	329
394	214	328
395	215	328
396	215	327
397	216	326
398	216	326
399	218	327
400	218	326
401	219	326
402	220	326
403	220	325
404	221	325
405	221	324
406	222	323
407	222	323
408	223	322
409	223	322
410	224	321
411	224	320
412	225	320
413	225	319
414	226	319
415	226	318
416	227	317
417	227	317
418	228	316
419	229	316
420	229	315
421	230	315
422	230	314
423	231	314
424	231	313
425	232	312
426	232	312
427	233	311
428	233	311
429	234	310
430	234	309
431	235	309
432	235	308
433	236	308
434	236	307
435	237	307
436	237	306
437	238	305
438	238	305
439	239	304
440	240	304
441	240	303
442	241	303
443	242	303
444	242	302
445	243	302
446	243	301
447	244	301
448	244	300
449	245	299
450	245	299
451	246	298
452	246	298
453	247	297
454	248	297
455	248	296
456	249	295
457	249	295
458	250	294
459	250	294
460	251	293
461	251	293
462	252	292
463	252	291
464	253	291
465	253	290
466	254	290
467	254	289
468	255	289
469	255	288
470	256	287
471	256	287
472	257	286
473	257	286
474	258	285
475	258	285
476	259	284
477	259	283
478	260	283
479	260	282
480	261	282
481	262	281
482	262	281
483	263	280
484	263	279
485	264	279
486	264	278
487	265	278
488	265	277
489	266	277
490	266	276
491	267	275
492	267	275
493	268	274
494	268	274
495	269	273
496	269	273
497	270	272
498	270	271
499	271	271
500	272	271
501	272	270
502	273	270
503	274	269
504	274	269
505	275	268
506	275	267
507	276	267
508	276	266
509	277	266
510	277	265
511	278	265
512	278	264
513	279	264
514	279	263
515	280	262
516	280	262
517	281	261
518	281	261
519	282	260
520	282	260
521	283	259
522	283	258
523	284	258
524	285	257
525	285	257
526	286	256
527	286	256
528	287	255
529	287	255
530	288	254
531	288	254
532	289	253
533	289	252
534	290	252
535	290	251
536	291	251
537	292	250
538	292	250
539	293	249
540	293	249
541	294	248
542	294	247
543	295	247
544	295	247
545	296	246
546	297	246
547	297	245
548	298	244
549	298	244
550	299	243
551	300	243
